IRI,label,original_definition,enriched_definition,modified
https://www.commoncoreontologies.org/ont00000339,Agricultural Facility,"A Facility that is designed as a building or campus for agricultural processes with the aim of cultivating animals, plants, or fungi for food, fiber, biofuel, medicinal plants, or other products to sustain and enhance human life.","A Facility that is designed to support agricultural processes for the cultivation of animals, plants, or fungi to produce food, fiber, biofuel, medicinal plants, or other products used to sustain and enhance human life.",True
https://www.commoncoreontologies.org/ont00001311,Aircraft Manufacturing Facility,A Factory that is designed to manufacture Aircraft.,"A manufacturing facility that is designed to produce aircraft and aircraft components through industrial processes including assembly, fabrication, and quality control operations.",True
https://www.commoncoreontologies.org/ont00001078,Airport,"A Transportation Facility that is designed for launching, receiving, and housing Aircraft.","A Transportation Facility that is designed to enable the takeoff, landing, and storage of aircraft.",True
https://www.commoncoreontologies.org/ont00000220,Ammunition Depot,A Storage Facility that is designed to store Portions of Ammunition.,A storage facility that is designed to store portions of ammunition.,True
https://www.commoncoreontologies.org/ont00000336,Apartment Building,A Residential Facility that is designed to contain multiple permanent residences comprised of a suite of rooms.,"A Residential Facility that is designed to contain multiple permanent residences, each of which consists of a suite of rooms intended for occupancy by a single household.",True
https://www.commoncoreontologies.org/ont00000172,Base of Operations,"A Military Base with permanently stationed operating forces, robust Infrastructure, and strengthened force protection measures such that it is designed to launch and support large-scale operations, support smaller or less-permanent bases, and organize supply facilities.","A Military Base that has permanently stationed operating forces, robust infrastructure, and strengthened force protection measures such that it is designed to launch and support large-scale military operations, provide support to smaller or less-permanent military bases, and organize supply facilities.",True
https://www.commoncoreontologies.org/ont00001344,Biological Depot,A Storage Facility that is designed to store biological agents.,"A Storage Facility that is designed to store biological agents such as bacteria, viruses, toxins, or other microorganisms that may be used for research, medical, or other purposes.",True
https://www.commoncoreontologies.org/ont00000778,Chemical Depot,A Storage Facility that is designed to store chemicals.,A Storage Facility that is designed to store chemical substances and chemical materials.,True
https://www.commoncoreontologies.org/ont00000248,Chemical Manufacturing Facility,A Factory that is designed to manufacture or process chemicals.,"A manufacturing facility that is designed to produce, process, or refine chemical substances through controlled chemical reactions, physical transformations, or purification processes.",True
https://www.commoncoreontologies.org/ont00000032,Church,A Religious Facility that is designed for Christian worship and prayer.,A Religious Facility that is designed to bear the function of supporting Christian worship services and prayer activities.,True
https://www.commoncoreontologies.org/ont00000667,Combat Outpost,A Military Facility that is designed to support the conduction of combat operations of limited scope or size.,A military facility that is designed to support the conduct of combat operations of limited scope or size.,True
https://www.commoncoreontologies.org/ont00000710,Command Post Facility,A Military Facility that is designed to support the command and control of Military Operations or Forces.,A facility that is designed to support the command and control of military operations or forces.,True
https://www.commoncoreontologies.org/ont00001102,Commercial Facility,"A Facility that is designed for buying and selling goods and services, especially on a large scale.",A Facility that is designed to enable the buying and selling of goods and services for profit.,True
https://www.commoncoreontologies.org/ont00000531,Communications Facility,A Facility that is designed to support processes of receiving or transmitting information.,"A Facility that is designed to enable the receiving, transmitting, or processing of information through technological means such as radio waves, electrical signals, or digital data transmission.",True
https://www.commoncoreontologies.org/ont00000901,Decontamination Facility,"A Washing Facility that is designed to wash personnel or equipment after (potential) contamination by radioactive, biological, or chemical material.","A Washing Facility that is designed to remove radioactive, biological, or chemical contaminants from personnel or equipment that have been exposed to such hazardous materials.",True
https://www.commoncoreontologies.org/ont00000670,Distribution Port,A Port that is designed with the cargo handling equipment necessary for the loading and unloading of Watercraft,A port that is designed to bear cargo handling equipment that is necessary for the loading and unloading of watercraft.,True
https://www.commoncoreontologies.org/ont00000270,Educational Facility,"A Facility that is designed for facilitating learning, or the acquisition of knowledge, skills, values, beliefs, and habits.","A Facility that is designed to enable the acquisition of knowledge, skills, or competencies through structured learning activities.",True
https://www.commoncoreontologies.org/ont00001076,Electric Power Station,A Facility that is designed to generate electrical power.,A facility that is designed to convert various forms of energy into electrical energy for distribution to consumers.,True
https://www.commoncoreontologies.org/ont00000641,Entertainment Facility,"A Facility that is designed to host activities that are intended to hold the interest of, or give pleasure or delight to, an audience.","A Facility that is designed to host activities that are intended to provide amusement, enjoyment, or diversion to an audience.",True
